Pathway	SRS011061	SRS011090	SRS011098	SRS011126
ko04122	2.3810059528347485	4.3507442355164905	4.402927169212464	4.878652729909369
ko02030	2.076111991345756	1.6984022251378386	1.430619285678621	2.7526097088145023
ko00460	6.567765806822389	3.4337932977689416	2.262021747947008	2.901732154372361
ko00970	22.187777464720693	22.352751589684775	21.85603206109769	22.34885093288632
ko00540	7.429588625520203	2.4561059132191883	3.0357494011991277	6.903465212432091
ko00604	2.429495690766964	1.262046258278709	0.2766356206949631	0.40089916362165484
ko00603	3.6388970439089245	1.3573888406668828	0.4923461035476746	0.5446635045497724
ko00730	6.112144735719203	5.8173141299136715	4.294964414223151	5.0700243071194135
ko00473	1.428243922392407	3.457030565771294	1.9241673676586588	1.957394910215937
ko04973	0.22404575053799197	1.2000467260265948	0.3719458642342949	0.3302413807046946
ko04070	1.3669889089235927	2.384610413571977	1.4413761632481272	1.9503709099834365
ko03018	10.753725743306484	7.364462289284168	10.496334214495898	10.308310922094705
ko03450	0.02835797319436737	0.09136420447661874	0.09151552246895923	0.1600520908519654
ko00531	3.594945723377081	1.3340465874410696	0.29612179422121615	0.4396477330245505
ko03430	11.78122410479474	14.413663109815076	11.681555128482692	12.59517529139461
ko03410	6.4078921966841484	7.778655093047225	7.879739977327335	7.832913166974979
ko03440	14.492591252272792	18.40509804503358	14.827946561604522	15.89710719206321
ko00511	10.118675755401533	4.9973676833346685	1.1635754946960108	1.5308777284495938
ko00944	0.28410670904753843	0.005132835282300661	0.004717400971533984	0.007779996755348662
ko04614	0.009092923043415904	0.0023739583841315276	0.029277944865370092	0.018768594626121064
ko05150	0.1376359117612978	4.368808241781851	0.5715218070471492	0.5292291492445901
ko04112	8.571704623421216	7.9259513556726136	7.677565180595309	8.209832996916187
ko00791	0.6029704817361005	0.7448703734406964	0.9764102346482357	0.7795105977213876
ko00121	0.8497692888007884	0.003304833565784145	0.00010815290839691859	0.0006525350895252378
ko00312	0.24437231323691586	0.3974344845073984	0.10705789310141416	0.14504644702775712
ko00660	3.1961953817897846	4.4043060770690206	5.155238068471886	4.251142608568133
ko00901	0.0002806105628115049	7.130484819520115e-05	7.625024313489446e-05	0.0004584820905623655
ko00984	0.08884377150688225	0.0029974375079237876	0.0036546986265750675	0.009740566241306545
ko00253	0.9374869525279743	3.3065697263327705	1.292351048702212	2.3597735010120924
ko03420	6.7233675054811775	6.259343517733046	7.504779529101988	7.123819558146353
ko03030	10.286830227539522	12.839376224091588	11.254818520643806	11.278269043380499
ko03010	54.402611147806795	55.39298387776782	58.649783718595806	59.24346084124786
ko03060	10.171241174598471	11.557005831705688	11.703926984886287	11.611105797014918
ko02010	22.327761161029933	55.58436726394504	38.02257567653154	41.69358402840532
ko00196	0.00043843116386632814	0.0006356246281687117	0.0012357695309859074	0.001879007887825777
ko00195	4.80166612324302	6.4407974344873455	6.525860220630323	6.4931248731442315
ko02040	0.9392857828893583	0.3461124272188835	0.45481544760840475	3.2702447044795204
ko05111	1.0897023965071218	1.1997141870423316	1.2292975255094363	1.4564934262397018
ko03070	9.374670364257392	10.703763132944282	10.788448756353825	11.955301900502901
ko05131	0.04981123677472242	0.01909135897711018	0.2920029007492081	0.28737677834434655
ko02060	0.9769519208238392	21.594723129940515	13.34283736522694	10.163999937632049
ko03020	3.671547958636127	4.6030575276181045	3.9593717480359367	3.8726773702025445
ko00785	1.1412363565797803	0.82986487418675	1.6173996056831612	1.387369445263176
ko01056	0.002240492120813318	0.0006835484673227011	0.006735410777764976	0.0029048805359294214
ko00365	0.0	0.0	0.0	0.0
